sample_idx,question,ground_truth,predicted,exact_match,model,timestamp
25,What are the first name and last name of Linda Smith's advisor?,"SELECT T1.fname, T1.lname FROM Faculty AS T1 JOIN Student AS T2 ON T1.FacID = T2.advisor WHERE T2.fname = ""Linda"" AND T2.lname = ""Smith""","SELECT fname, lname FROM Student WHERE advisor = 'Linda Smith';",False,phi-2-base,2026-04-16T08:38:41.968315
26,Name the best director for mother,"SELECT best_director FROM table_15301258_1 WHERE best_film = ""Mother""",SELECT best_director FROM table_15301258_1 WHERE best_film ='mother',False,phi-2-base,2026-04-16T08:38:48.953641
27,What is the Record of the 2012 Hamilton Games from Bahamas?,"SELECT record FROM table_name_72 WHERE nationality = ""bahamas"" AND games = ""2012 hamilton""",SELECT * FROM table_name_72 WHERE nationality = 'Bahamas' AND games = '2012 Hamilton Games',False,phi-2-base,2026-04-16T08:38:54.849052
28,List the pitchers for the 1970 season,"SELECT pitcher FROM table_19839391_3 WHERE seasons = ""1970""",SELECT pitcher FROM table_19839391_3 WHERE seasons = '1970';,False,phi-2-base,2026-04-16T08:39:01.879361
29,List the possible children per donor levels for countries where the allowed recipients is no data.,"SELECT children_per_donor FROM table_16175217_1 WHERE allowed_recipients = ""no data""",SELECT children_per_donor,False,phi-2-base,2026-04-16T08:39:08.972155
30,How many students are enrolled in the team nicknamed Comets?,"SELECT enrollment FROM table_28243691_2 WHERE team_nickname = ""Comets""",SELECT COUNT(*) FROM table_28243691_2 WHERE team_nickname = 'Comets';,False,phi-2-base,2026-04-16T08:39:13.874520
31,Where did Michael Eric Bibat win bronze?,"SELECT location FROM table_name_29 WHERE bronze = ""michael eric bibat""",SELECT location FROM table_name_29 WHERE bronze = 'Michael Eric Bibat';,False,phi-2-base,2026-04-16T08:39:20.870802
32,What is the total number of E edges of the polyhedra with vertices V greater than 20?,SELECT COUNT(edges_e) FROM table_name_32 WHERE vertices_v > 20,SELECT COUNT(*) FROM table_name_32 WHERE vertices_v > 20,False,phi-2-base,2026-04-16T08:39:27.729055
33,"What date has a game smaller than 4, and a score of 116-114?","SELECT date FROM table_name_73 WHERE game < 4 AND score = ""116-114""",SELECT date FROM table_name_73 WHERE game < '4' AND score = '116-114';,False,phi-2-base,2026-04-16T08:39:33.746403
34,"How many games drawn with a Points difference of 31 - 33, and under 4 games lost?","SELECT SUM(drawn) FROM table_name_41 WHERE points_difference = ""31 - 33"" AND lost < 4",SELECT COUNT(*) FROM table_name_41 WHERE drawn BETWEEN 31 AND 33 AND lost < 4,False,phi-2-base,2026-04-16T08:39:39.389399
35,What is the density of the place with an area of 1512?,SELECT MAX(density) FROM table_2847477_2 WHERE area = 1512,SELECT density FROM table_2847477_2 WHERE area = '1512';,False,phi-2-base,2026-04-16T08:39:46.407861
36,What is the Latin motto of the sign that translates to spouse?,"SELECT latin_motto FROM table_name_94 WHERE translation = ""spouse""",SELECT translation FROM table_name_94 WHERE Latin_motto ='spouse';,False,phi-2-base,2026-04-16T08:39:51.653414
37,What is the number for the player that has a k position?,"SELECT number FROM table_name_77 WHERE position = ""k""",SELECT number FROM table_name_77 WHERE position = 'k',False,phi-2-base,2026-04-16T08:39:58.685145
38,When's the release date of the model with part number adh485biaa5do? ,"SELECT release_date FROM table_13869651_3 WHERE part_number_s_ = ""ADH485BIAA5DO""",SELECT release_date FROM table_13869651_3 WHERE part_number_s_ = 'adh485biaa5do';,False,phi-2-base,2026-04-16T08:40:05.727980
39,What year had the Chassis of march 762 and more than 0 points?,"SELECT COUNT(year) FROM table_name_64 WHERE chassis = ""march 762"" AND points > 0",SELECT year FROM table_name_64 WHERE chassis ='march 762' AND points > 0,False,phi-2-base,2026-04-16T08:40:10.324558
40,What Singapore League Cup does Masahiro Fukasawa have?,"SELECT singapore_league_cup FROM table_name_99 WHERE name = ""masahiro fukasawa""",SELECT * FROM table_name_99 WHERE Singapore_league_cup = 'Masahiro Fukasawa',False,phi-2-base,2026-04-16T08:40:17.323602
41,What is the maximum points received when Peeter Vähl gave a 9?,SELECT MIN(points) FROM table_29261215_4 WHERE peeter_vähi = 9,SELECT MAX(points) FROM table_29261215_4 WHERE peeter_vähi = '9';,False,phi-2-base,2026-04-16T08:40:24.399411
42,what is the total when the league is less than 1?,SELECT total FROM table_name_89 WHERE league < 1,SELECT total FROM table_name_89 WHERE league < 1,True,phi-2-base,2026-04-16T08:40:31.468834
43,Tell me the sum of losses for wins less than 2 and rank of 10 with appearances larger than 3,SELECT SUM(losses) FROM table_name_60 WHERE wins < 2 AND rank = 10 AND appearances > 3,SELECT SUM(losses) FROM table_name_60 WHERE wins < 2 AND rank = '10' AND appearances > 3,False,phi-2-base,2026-04-16T08:40:37.998155
44,What was the first year that South Korea won gold and Malaysia won bronze?,"SELECT MIN(year) FROM table_name_74 WHERE gold = ""south korea"" AND bronze = ""malaysia""",SELECT year FROM table_name_74 WHERE gold = 'South Korea' AND bronze = 'Malaysia';,False,phi-2-base,2026-04-16T08:40:44.856501
45,"If the rank is 11, what is the total amount?",SELECT total FROM table_21995420_9 WHERE rank = 11,SELECT total FROM table_21995420_9 WHERE rank = '11';,False,phi-2-base,2026-04-16T08:40:51.705459
46,Name the number of celebrity for athlete,"SELECT COUNT(celebrity) FROM table_14345690_4 WHERE famous_for = ""Athlete""",SELECT COUNT(*) FROM table_14345690_4 WHERE famous_for = 'athlete',False,phi-2-base,2026-04-16T08:40:58.599494
47,What Money (£) has a Country of ireland?,"SELECT money___£__ FROM table_name_96 WHERE country = ""ireland""",SELECT money FROM table_name_96 WHERE country = 'ireland';,False,phi-2-base,2026-04-16T08:41:03.995846
48,What shows for series 4 when the seat shows 1?,SELECT series_4 FROM table_name_27 WHERE seat = 1,SELECT * FROM table_name_27 WHERE series_4 ='series_4' AND seat = '1';,False,phi-2-base,2026-04-16T08:41:11.031685
49,"How many numbers were recorded under revenue when revenue per capita was $6,126?","SELECT COUNT(revenue__millions_) FROM table_14700336_1 WHERE revenue_per_capita = ""$6,126""","SELECT COUNT(*) FROM table_14700336_1 WHERE revenue_per_capita = '$6,126';",False,phi-2-base,2026-04-16T08:41:17.926832
